g,h,Value
block133,block55,6478
block133,block56,5593
block133,block57,5460
block133,block58,5796
block133,block59,5286
block133,block6,15975
block133,block60,14044
block133,block61,12387
block133,block62,13210
block133,block63,13008
block133,block64,13483
block133,block65,12806
block133,block66,13176
block133,block67,12121
block133,block68,10917
block133,block69,9924
block133,block7,15219
block133,block70,9293
block133,block71,9686
block133,block72,9206
block133,block73,8598
block133,block74,9715
block133,block75,10477
block133,block76,9993
block133,block77,11487
block133,block78,11621
block133,block79,12222
block133,block8,16023
block133,block80,7695
block133,block81,8937
block133,block82,8652
block133,block83,9655
block133,block84,9547
block133,block85,11002
block133,block86,12130
block133,block87,10848
block133,block88,11197
block133,block89,4073
block133,block9,16217
block133,block90,5368
block133,block91,4025
block133,block92,6594
block133,block93,5602
block133,block94,9052
block133,block95,8712
block133,block96,7607
block133,block97,9789
block133,block98,8570
block133,block99,4944
block133,C1,13546
block133,C10,2970
block133,C11,4182
block133,C12,16385
block133,C13,5787
block133,C14,9769
block133,C15,6399
block133,C16,5215
block133,C17,3268
block133,C18,4409
block133,C19,11204
block133,C2,4671
block133,C20,16452
block133,C21,7917
block133,C22,10153
block133,C23,287
block133,C24,8693
block133,C25,11128
block133,C26,9874
block133,C27,6879
block133,C28,9195
block133,C29,15197
block133,C3,15098
block133,C30,10024
block133,C31,13256
block133,C32,13591
block133,C33,8322
block133,C34,15459
block133,C35,16516
block133,C36,6786
block133,C37,2055
block133,C38,6503
block133,C39,5076
block133,C4,4958
block133,C40,6856
block133,C41,9686
block133,C42,6081
block133,C43,9075
block133,C44,14404
block133,C45,12739
block133,C46,3436
block133,C47,3784
block133,C48,5986
block133,C49,12917
block133,C5,5935
block133,C50,7285
block133,C51,5644
block133,C52,5469
block133,C53,3647
block133,C54,6550
block133,C6,6673
block133,C7,3752
block133,C8,6707
block133,C9,16311
block134,block1,7597
block134,block10,5906
block134,block100,5600
block134,block101,5991
block134,block102,5596
block134,block103,7572
block134,block104,7423
block134,block105,10094
block134,block106,9173
block134,block107,6485
block134,block108,6724
block134,block109,7648
block134,block11,5489
block134,block110,6031
block134,block111,5358
block134,block112,6623
block134,block113,5819
block134,block114,6440
block134,block115,6034
block134,block116,4523
block134,block117,4646
block134,block118,4004
block134,block119,5743
block134,block12,4950
block134,block120,3855
block134,block121,4748
block134,block122,5053
block134,block123,5678
block134,block124,7209
block134,block125,8101
block134,block126,6387
block134,block127,4502
block134,block128,6170
block134,block129,8001
block134,block13,4527
block134,block130,5772
block134,block131,6232
block134,block132,8256
block134,block133,8995
block134,block134,0
block134,block135,4699
block134,block14,6436
block134,block15,6082
block134,block16,5675
block134,block17,5184
block134,block18,4455
block134,block19,4076
block134,block2,8075
block134,block20,3662
block134,block21,5812
block134,block22,5199
block134,block23,4209
block134,block24,5155
block134,block25,4613
block134,block26,3108
block134,block27,3297
block134,block28,4538
block134,block29,4095
block134,block3,7762
block134,block30,3598
block134,block31,3824
block134,block32,2937
block134,block33,3199
block134,block34,2610
block134,block35,2254
block134,block36,2372
block134,block37,1988
block134,block38,2358
block134,block39,1602
block134,block4,6306
block134,block40,1160
block134,block41,2622
block134,block42,4061
block134,block43,3453
block134,block44,3051
block134,block45,4435
block134,block46,4500
block134,block47,3439
block134,block48,2872
block134,block49,2002
block134,block5,5613
block134,block50,1492
block134,block51,1275
block134,block52,2177
block134,block53,2557
block134,block54,2960
block134,block55,4025
block134,block56,3454
block134,block57,3890
block134,block58,5222
block134,block59,4759
block134,block6,5952
block134,block60,5419
block134,block61,5679
block134,block62,7065
block134,block63,6863
block134,block64,6960
block134,block65,6283
block134,block66,6654
block134,block67,3822
block134,block68,2640
block134,block69,3610
block134,block7,5289
block134,block70,3441
block134,block71,3821
block134,block72,3402
block134,block73,2794
block134,block74,3911
block134,block75,4116
block134,block76,4189
block134,block77,5356
block134,block78,5491
block134,block79,6091
block134,block8,6808
block134,block80,2777
block134,block81,3133
block134,block82,3734
block134,block83,3851
block134,block84,4492
block134,block85,5450
block134,block86,6242
block134,block87,5333
block134,block88,5604
block134,block89,3246
block134,block9,6270
block134,block90,1944
block134,block91,3450
block134,block92,3669
block134,block93,4260
block134,block94,4134
block134,block95,4540
block134,block96,4671
block134,block97,7611
block134,block98,6984
block134,block99,4966
block134,C1,4124
block134,C10,4872
block134,C11,4591
block134,C12,7505
block134,C13,5213
block134,C14,938
block134,C15,879
block134,C16,3012
block134,C17,4794
block134,C18,7191
block134,C19,2373
block134,C2,2602
block134,C20,6236
block134,C21,3053
block134,C22,5439
block134,C23,8709
block134,C24,4826
block134,C25,5613
block134,C26,6891
block134,C27,3071
block134,C28,4277
block134,C29,6167
block134,C3,5151
block134,C30,3663
block134,C31,4053
block134,C32,7446
block134,C33,3457
block134,C34,5513
block134,C35,7636
block134,C36,3101
block134,C37,8018
block134,C38,3712
block134,C39,8144
block134,C4,2324
block134,C40,3223
block134,C41,4764
block134,C42,1357
block134,C43,4784
block134,C44,4458
block134,C45,6216
block134,C46,4856
block134,C47,4911
block134,C48,5610
block134,C49,7358
block134,C5,3593
block134,C50,4410
block134,C51,3464
block134,C52,2229
block134,C53,4556
block134,C54,10140
block134,C6,5478
block134,C7,4283
block134,C8,3509
block134,C9,7592
block135,block1,4998
block135,block10,3307
block135,block100,8593
block135,block101,8984
block135,block102,8589
block135,block103,12266
block135,block104,9720
block135,block105,11276
block135,block106,10355
block135,block107,11179
block135,block108,11417
block135,block109,12342
block135,block11,2891
block135,block110,11192
block135,block111,10519
block135,block112,11397
block135,block113,10749
block135,block114,10725
block135,block115,10318
block135,block116,9426
block135,block117,9576
block135,block118,8288
block135,block119,10027
block135,block12,2351
block135,block120,8019
block135,block121,8658
block135,block122,9337
block135,block123,10191
block135,block124,10202
block135,block125,11094
block135,block126,4874
block135,block127,6985
block135,block128,11332
block135,block129,10994
block135,block13,1933
block135,block130,11321
block135,block131,11052
block135,block132,11249
block135,block133,11988
block135,block134,4873
block135,block135,0
block135,block14,4446
block135,block15,4162
block135,block16,3419
block135,block17,2920
block135,block18,2637
block135,block19,2158
block135,block2,5506
block135,block20,1744
block135,block21,4721
block135,block22,3986
block135,block23,4364
block135,block24,5280
block135,block25,5135
block135,block26,3215
block135,block27,2556
block135,block28,6666
block135,block29,5754
block135,block3,5193
block135,block30,5102
block135,block31,6709
block135,block32,5979
block135,block33,3987
block135,block34,4428
block135,block35,4853
block135,block36,5254
block135,block37,3370
block135,block38,3821
block135,block39,4040
block135,block4,3707
block135,block40,4980
block135,block41,6717
block135,block42,7555
block135,block43,7350
block135,block44,7050
block135,block45,8712
block135,block46,7613
block135,block47,7487
block135,block48,7297
block135,block49,5841
block135,block5,3014
block135,block50,5617
block135,block51,5400
block135,block52,6302
block135,block53,7491
block135,block54,7894
block135,block55,8074
block135,block56,8388
block135,block57,8825
block135,block58,10884
block135,block59,10515
block135,block6,3353
block135,block60,2011
block135,block61,1575
block135,block62,2625
block135,block63,2422
block135,block64,4603
block135,block65,3926
block135,block66,4297
block135,block67,893
block135,block68,2142
block135,block69,3480
block135,block7,2690
block135,block70,3511
block135,block71,3817
block135,block72,4303
block135,block73,4652
block135,block74,4857
block135,block75,3964
block135,block76,4624
block135,block77,3881
block135,block78,4583
block135,block79,4937
block135,block8,4209
block135,block80,5788
block135,block81,4991
block135,block82,6744
block135,block83,4983
block135,block84,5362
block135,block85,4542
block135,block86,5334
block135,block87,5954
block135,block88,6225
block135,block89,7411
block135,block9,3671
block135,block90,6878
block135,block91,7734
block135,block92,6696
block135,block93,7253
block135,block94,7144
block135,block95,6220
block135,block96,8368
block135,block97,8793
block135,block98,8145
block135,block99,7959
block135,C1,1000
block135,C10,9156
block135,C11,9520
block135,C12,4906
block135,C13,10875
block135,C14,4029
block135,C15,5003
block135,C16,7946
block135,C17,9078
block135,C18,11885
block135,C19,3650
block135,C2,6911
block135,C20,3637
block135,C21,5223
block135,C22,4485
block135,C23,11701
block135,C24,7003
block135,C25,5092
block135,C26,8052
block135,C27,7496
block135,C28,5746
block135,C29,3568
block135,C3,2552
block135,C30,3677
block135,C31,2840
block135,C32,3005
block135,C33,5938
block135,C34,2914
block135,C35,5037
block135,C36,7149
block135,C37,11011
block135,C38,7265
block135,C39,9326
block135,C4,6436
block135,C40,6716
block135,C41,7247
block135,C42,6292
block135,C43,7930
block135,C44,1859
block135,C45,3860
block135,C46,9004
block135,C47,8821
block135,C48,8603
block135,C49,5002
block135,C5,8528
block135,C50,8046
block135,C51,8104
block135,C52,6141
block135,C53,8840
block135,C54,11322
block135,C6,11573
block135,C7,8567
block135,C8,6996
block135,C9,5023
block14,block1,1745
block14,block10,1875
block14,block100,11845
block14,block101,12236
block14,block102,11841
block14,block103,13637
block14,block104,13227
block14,block105,14783
block14,block106,13862
block14,block107,14431
block14,block108,14669
block14,block109,15593
block14,block11,2534
block14,block110,6590
block14,block111,6719
block14,block112,7182
block14,block113,7351
block14,block114,8134
block14,block115,8011
block14,block116,7777
block14,block117,7254
block14,block118,7080
block14,block119,7592
block14,block12,3631
block14,block120,7953
block14,block121,11910
block14,block122,9057
block14,block123,9776
block14,block124,13453
block14,block125,14345
block14,block126,691
block14,block127,2329
block14,block128,6729
block14,block129,14246
block14,block13,3245
block14,block130,9776
block14,block131,14304
block14,block132,14501
block14,block133,11455
block14,block134,6436
block14,block135,4444
block14,block14,0
block14,block15,446
block14,block16,1676
block14,block17,2443
block14,block18,2733
block14,block19,2952
block14,block2,2211
block14,block20,3366
block14,block21,967
block14,block22,1647
block14,block23,2244
block14,block24,1319
block14,block25,1838
block14,block26,3367
block14,block27,3196
block14,block28,2011
block14,block29,2379
block14,block3,3146
block14,block30,2703
block14,block31,2860
block14,block32,3789
block14,block33,3150
block14,block34,3733
block14,block35,4082
block14,block36,4457
block14,block37,4340
block14,block38,4159
block14,block39,4694
block14,block4,3320
block14,block40,5248
block14,block41,4235
block14,block42,2899
block14,block43,3458
block14,block44,3845
block14,block45,4056
block14,block46,3911
block14,block47,4422
block14,block48,4939
block14,block49,4481
block14,block5,4278
block14,block50,5082
block14,block51,5740
block14,block52,4877
block14,block53,5988
block14,block54,5834
block14,block55,5484
block14,block56,5504
block14,block57,6227
block14,block58,5800
block14,block59,6098
block14,block6,3048
block14,block60,5001
block14,block61,5261
block14,block62,6648
block14,block63,6445
block14,block64,8110
block14,block65,7433
block14,block66,7804
block14,block67,4285
block14,block68,4383
block14,block69,6987
block14,block7,3962
block14,block70,6723
block14,block71,7324
block14,block72,7810
block14,block73,7152
block14,block74,8364
block14,block75,7471
block14,block76,8131
block14,block77,7388
block14,block78,8089
block14,block79,8444
block14,block8,1250
block14,block80,9039
block14,block81,7785
block14,block82,8192
block14,block83,8490
block14,block84,8869
block14,block85,8049
block14,block86,8841
block14,block87,9461
block14,block88,9732
block14,block89,7488
block14,block9,1486
block14,block90,6149
block14,block91,7454
block14,block92,9947
block14,block93,10505
block14,block94,9321
block14,block95,9727
block14,block96,10941
block14,block97,12300
block14,block98,11652
block14,block99,11211
block14,C1,3707
block14,C10,8875
block14,C11,7514
block14,C12,1652
block14,C13,5809
block14,C14,5591
block14,C15,6566
block14,C16,6264
block14,C17,7679
block14,C18,15137
block14,C19,4018
block14,C2,6909
block14,C20,2545
block14,C21,3529
block14,C22,1188
block14,C23,11437
block14,C24,10510
block14,C25,8599
block14,C26,11559
block14,C27,4208
block14,C28,9253
block14,C29,3982
block14,C3,1894
block14,C30,7184
block14,C31,2737
block14,C32,7028
block14,C33,3034
block14,C34,3578
block14,C35,1784
block14,C36,4559
block14,C37,14263
block14,C38,10516
block14,C39,12832
block14,C4,7044
block14,C40,9968
block14,C41,2591
block14,C42,6306
block14,C43,3274
block14,C44,2587
block14,C45,7366
block14,C46,8954
block14,C47,12072
block14,C48,11854
block14,C49,8508
block14,C5,5209
block14,C50,11298
block14,C51,5949
block14,C52,7257
block14,C53,7440
block14,C54,14829
block14,C6,5258
block14,C7,7545
block14,C8,10247
block14,C9,2944
block15,block1,1703
block15,block10,1590
block15,block100,11541
block15,block101,11932
block15,block102,11537
block15,block103,13333
block15,block104,12923
block15,block105,14479
block15,block106,13558
block15,block107,14127
block15,block108,14365
block15,block109,15289
block15,block11,2250
block15,block110,7158
block15,block111,7287
block15,block112,7751
block15,block113,7919
block15,block114,8702
block15,block115,8579
block15,block116,7763
block15,block117,7822
block15,block118,7237
block15,block119,8161
block15,block12,3347
block15,block120,8109
block15,block121,11606
block15,block122,9519
block15,block123,13139
block15,block124,13150
block15,block125,14042
block15,block126,1259
block15,block127,2897
block15,block128,7298
block15,block129,13942
block15,block13,2961
block15,block130,10238
block15,block131,14000
block15,block132,14197
block15,block133,14936
block15,block134,6132
block15,block135,4160
block15,block14,446
block15,block15,0
block15,block16,1392
block15,block17,1892
block15,block18,2429
block15,block19,2668
block15,block2,1927
block15,block20,3082
block15,block21,684
block15,block22,1343
block15,block23,1959
block15,block24,1236
block15,block25,1554
block15,block26,3063
block15,block27,2892
block15,block28,2579
block15,block29,2172
block15,block3,2861
block15,block30,2419
block15,block31,2611
block15,block32,3285
block15,block33,2825
block15,block34,3409
block15,block35,3778
block15,block36,4153
block15,block37,4036
block15,block38,3855
block15,block39,4391
block15,block4,3036
block15,block40,4945
block15,block41,4719
block15,block42,3467
block15,block43,4026
block15,block44,3898
block15,block45,4624
block15,block46,4479
block15,block47,4379
block15,block48,5299
block15,block49,4638
block15,block5,3994
block15,block50,5323
block15,block51,5436
block15,block52,5034
block15,block53,6145
block15,block54,5990
block15,block55,5609
block15,block56,5951
block15,block57,6384
block15,block58,6368
block15,block59,6666
block15,block6,2764
block15,block60,4717
block15,block61,4977
block15,block62,6364
block15,block63,6161
block15,block64,7806
block15,block65,7129
block15,block66,7500
block15,block67,3987
block15,block68,4079
block15,block69,6683
block15,block7,3677
block15,block70,6419
block15,block71,7020
block15,block72,7506
block15,block73,6848
block15,block74,8060
block15,block75,7167
block15,block76,7827
block15,block77,7084
block15,block78,7786
block15,block79,8140
block15,block8,1255
block15,block80,8736
block15,block81,7481
block15,block82,7888
block15,block83,8186
block15,block84,8565
block15,block85,7745
block15,block86,8537
block15,block87,9157
block15,block88,9428
block15,block89,10359
block15,block9,1201
block15,block90,6531
block15,block91,7866
block15,block92,9644
block15,block93,10201
block15,block94,9017
block15,block95,9423
block15,block96,10637
block15,block97,11996
block15,block98,11348
block15,block99,10907
block15,C1,3422
block15,C10,9614
block15,C11,8082
block15,C12,1611
block15,C13,6377
block15,C14,5287
block15,C15,6262
block15,C16,6420
block15,C17,7835
block15,C18,14833
block15,C19,3714
block15,C2,7066
block15,C20,2261
block15,C21,3226
block15,C22,904
block15,C23,14649
block15,C24,10206
block15,C25,8295
block15,C26,11255
block15,C27,4162
block15,C28,8949
block15,C29,3697
block15,C3,1610
block15,C30,6880
block15,C31,2433
block15,C32,6744
block15,C33,2634
block15,C34,3294
block15,C35,1743
block15,C36,4684
block15,C37,13959
block15,C38,10213
block15,C39,12529
block15,C4,7048
block15,C40,9664
block15,C41,3159
block15,C42,6002
block15,C43,3842
block15,C44,2303
block15,C45,7062
block15,C46,9111
block15,C47,11768
block15,C48,11551
block15,C49,8204
block15,C5,6090
block15,C50,10994
block15,C51,6106
block15,C52,6953
block15,C53,7597
block15,C54,14525
block15,C6,5826
block15,C7,7701
block15,C8,9944
block15,C9,2659
block16,block1,2229
block16,block10,864
block16,block100,11589
block16,block101,11980
block16,block102,11585
block16,block103,13127
block16,block104,12717
block16,block105,14273
block16,block106,13351
block16,block107,14175
block16,block108,14414
block16,block109,15338
block16,block11,1514
block16,block110,8476
block16,block111,7693
block16,block112,12754
block16,block113,8392
block16,block114,8582
block16,block115,8618
block16,block116,7306
block16,block117,7429
block16,block118,6780
block16,block119,8152
block16,block12,2604
block16,block120,7653
block16,block121,11654
block16,block122,9063
block16,block123,13188
block16,block124,13198
block16,block125,14090
block16,block126,2104
block16,block127,4215
block16,block128,8616
block16,block129,13990
block16,block13,2218
block16,block130,9781
block16,block131,14048
block16,block132,14245
block16,block133,10494
block16,block134,5675
block16,block135,3417
block16,block14,1676
block16,block15,1392
block16,block16,0
block16,block17,814
block16,block18,1239
block16,block19,1575
block16,block2,2111
block16,block20,1989
block16,block21,1951
block16,block22,1697
block16,block23,1909
block16,block24,2511
block16,block25,2366
block16,block26,2606
block16,block27,2436
block16,block28,3897
block16,block29,2984
block16,block3,2125
block16,block30,2647
block16,block31,3891
block16,block32,3525
block16,block33,2389
block16,block34,2972
block16,block35,3321
block16,block36,3696
block16,block37,3586
block16,block38,3398
block16,block39,3934
block16,block4,2300
block16,block40,4488
block16,block41,4263
block16,block42,4785
block16,block43,4896
block16,block44,4595
block16,block45,5942
block16,block46,5159
block16,block47,5032
block16,block48,4842
block16,block49,4181
block16,block5,3252
block16,block50,4867
block16,block51,4980
block16,block52,4578
block16,block53,5688
block16,block54,5534
block16,block55,5619
block16,block56,5494
block16,block57,5927
block16,block58,7557
block16,block59,7095
block16,block6,2027
block16,block60,3974
block16,block61,4235
block16,block62,5621
block16,block63,5419
block16,block64,7599
block16,block65,6923
block16,block66,7293
block16,block67,3245
block16,block68,3622
block16,block69,6476
block16,block7,2935
block16,block70,5963
block16,block71,6813
block16,block72,7299
block16,block73,6391
block16,block74,7853
block16,block75,6960
block16,block76,7620
block16,block77,6877
block16,block78,7579
block16,block79,7933
block16,block8,1440
block16,block80,8784
block16,block81,7025
block16,block82,7431
block16,block83,7980
block16,block84,8358
block16,block85,7538
block16,block86,8330
block16,block87,8950
block16,block88,9221
block16,block89,7189
block16,block9,902
block16,block90,5849
block16,block91,7409
block16,block92,9692
block16,block93,10249
block16,block94,10140
block16,block95,9216
block16,block96,10431
block16,block97,11790
block16,block98,11141
block16,block99,10955
block16,C1,2680
block16,C10,9158
block16,C11,7374
block16,C12,2136
block16,C13,7548
block16,C14,4830
block16,C15,5805
block16,C16,5964
block16,C17,7379
block16,C18,14881
block16,C19,3263
block16,C2,6609
block16,C20,1524
block16,C21,2769
block16,C22,1715
block16,C23,14698
block16,C24,9999
block16,C25,8088
block16,C26,11048
block16,C27,5042
block16,C28,8742
block16,C29,2955
block16,C3,867
block16,C30,6673
block16,C31,1977
block16,C32,6002
block16,C33,3483
block16,C34,2551
block16,C35,2268
block16,C36,4694
block16,C37,14007
block16,C38,10261
block16,C39,12322
block16,C4,6591
block16,C40,9712
block16,C41,4477
block16,C42,5545
block16,C43,5160
block16,C44,1560
block16,C45,6856
block16,C46,8654
block16,C47,11817
block16,C48,11599
block16,C49,7998
block16,C5,5633
block16,C50,11042
block16,C51,5649
block16,C52,6496
block16,C53,7140
block16,C54,14318
block16,C6,7144
block16,C7,7245
block16,C8,9992
block16,C9,2844
block17,block1,2729
block17,block10,1038
block17,block100,10282
block17,block101,10673
block17,block102,10279
block17,block103,12075
block17,block104,11665
block17,block105,13221
block17,block106,12300
block17,block107,12868
block17,block108,13107
block17,block109,14031
block17,block11,1357
block17,block110,7698
block17,block111,7202
block17,block112,8291
block17,block113,7901
block17,block114,8091
block17,block115,8128
block17,block116,6816
block17,block117,6939
block17,block118,6289
block17,block119,7662
block17,block12,2105
block17,block120,7162
block17,block121,10347
block17,block122,8572
block17,block123,11881
block17,block124,11891
block17,block125,12783
block17,block126,2394
block17,block127,4032
block17,block128,8015
block17,block129,12683
block17,block13,1719
block17,block130,9291
block17,block131,12742
block17,block132,12939
block17,block133,13678
block17,block134,4873
block17,block135,2917
block17,block14,2177
block17,block15,1892
block17,block16,814
block17,block17,0
block17,block18,419
block17,block19,779
block17,block2,2204
block17,block20,1193
block17,block21,1819
block17,block22,1206
block17,block23,1419
block17,block24,2371
block17,block25,1824
block17,block26,1805
block17,block27,1634
block17,block28,3265
block17,block29,2842
block17,block3,1968
block17,block30,2157
block17,block31,3764
block17,block32,3034
block17,block33,1898
block17,block34,2481
block17,block35,2831
block17,block36,3205
block17,block37,2778
block17,block38,2596
block17,block39,3443
block17,block4,2143
block17,block40,3686
block17,block41,3772
block17,block42,4393
block17,block43,4405
block17,block44,4104
block17,block45,5164
block17,block46,4668
block17,block47,4541
block17,block48,4351
block17,block49,3691
block17,block5,2752
block17,block50,4065
block17,block51,4178
block17,block52,4087
block17,block53,5197
block17,block54,5043
block17,block55,5128
block17,block56,5003
block17,block57,5436
block17,block58,7066
block17,block59,6604
block17,block6,1870
block17,block60,3475
block17,block61,3735
block17,block62,5122
block17,block63,4919
block17,block64,6548
block17,block65,5871
block17,block66,6241
block17,block67,2324
block17,block68,3211
block17,block69,5425
block17,block7,2435
block17,block70,5161
block17,block71,5762
block17,block72,6247
block17,block73,5590
block17,block74,6802
block17,block75,5908
block17,block76,6569
block17,block77,5826
block17,block78,6527
block17,block79,6882
block17,block8,1940
block17,block80,6499
block17,block81,6223
block17,block82,6629
block17,block83,6928
block17,block84,7307
block17,block85,6487
block17,block86,7278
block17,block87,7899
block17,block88,8169
block17,block89,9101
block17,block9,1402
block17,block90,5273
block17,block91,6918
block17,block92,8385
block17,block93,8942
block17,block94,7855
block17,block95,8165
block17,block96,9379
block17,block97,10738
block17,block98,10089
block17,block99,9649
block17,C1,2180
block17,C10,8667
block17,C11,6883
block17,C12,2637
block17,C13,7058
block17,C14,3836
block17,C15,5003
block17,C16,5473
block17,C17,6888
block17,C18,13574
block17,C19,2455
block17,C2,6053
block17,C20,1367
block17,C21,2278
block17,C22,1583
block17,C23,13391
block17,C24,8948
block17,C25,7037
block17,C26,9996
block17,C27,4551
block17,C28,7690
block17,C29,2455
block17,C3,716
block17,C30,5621
block17,C31,1175
block17,C32,5502
block17,C33,2992
block17,C34,2052
block17,C35,2768
block17,C36,4203
block17,C37,12701
block17,C38,8954
block17,C39,11270
block17,C4,5790
block17,C40,8406
block17,C41,4294
block17,C42,4744
block17,C43,4768
block17,C44,1061
block17,C45,5804
block17,C46,8163
block17,C47,10510
block17,C48,10292
block17,C49,6946
block17,C5,5142
block17,C50,9736
block17,C51,5159
block17,C52,5694
block17,C53,6650
block17,C54,13267
block17,C6,6366
block17,C7,6754
block17,C8,8685
block17,C9,2730
block18,block1,3163
block18,block10,1452
block18,block100,9864
block18,block101,10255
block18,block102,9861
block18,block103,11657
block18,block104,11247
block18,block105,12803
block18,block106,11882
block18,block107,12450
block18,block108,12689
block18,block109,13613
block18,block11,1476
block18,block110,7980
block18,block111,7485
block18,block112,8573
block18,block113,8184
block18,block114,8374
block18,block115,8410
block18,block116,7098
block18,block117,7221
block18,block118,6572
block18,block119,7944
block18,block12,1803
block18,block120,7006
block18,block121,9929
block18,block122,8110
block18,block123,11463
block18,block124,11473
block18,block125,12365
block18,block126,2676
block18,block127,4315
block18,block128,8298
block18,block129,12265
block18,block13,1417
block18,block130,12592
block18,block131,12324
block18,block132,12521
block18,block133,13260
block18,block134,4455
block18,block135,2616
block18,block14,2610
block18,block15,2326
block18,block16,1228
block18,block17,419
block18,block18,0
block18,block19,469
block18,block2,3045
block18,block20,882
block18,block21,2101
block18,block22,1489
block18,block23,1701
block18,block24,2653
block18,block25,2107
block18,block26,1387
block18,block27,1216
block18,block28,3547
block18,block29,3124
block18,block3,2382
block18,block30,2439
block18,block31,4047
block18,block32,3316
block18,block33,1904
block18,block34,2291
block18,block35,2771
block18,block36,3171
block18,block37,2360
block18,block38,2178
block18,block39,2715
block18,block4,2293
block18,block40,3268
block18,block41,4054
block18,block42,4675
block18,block43,4688
block18,block44,4387
block18,block45,5447
block18,block46,4950
block18,block47,4824
block18,block48,4634
block18,block49,3879
block18,block5,2450
block18,block50,3647
block18,block51,3760
block18,block52,4369
block18,block53,5480
block18,block54,5325
block18,block55,5411
block18,block56,5286
block18,block57,5719
block18,block58,7349
block18,block59,6887
block18,block6,1939
block18,block60,3173
block18,block61,3433
block18,block62,4820
block18,block63,4617
block18,block64,6130
block18,block65,5453
block18,block66,5823
block18,block67,1906
block18,block68,2793
block18,block69,5007
block18,block7,2134
block18,block70,4743
block18,block71,5344
block18,block72,5829
block18,block73,5172
block18,block74,6384
block18,block75,5490
block18,block76,6151
block18,block77,5408
block18,block78,6109
block18,block79,6464
block18,block8,2374
block18,block80,6081
block18,block81,5805
block18,block82,6211
block18,block83,6510
block18,block84,6889
block18,block85,6069
block18,block86,6860
block18,block87,7481
block18,block88,7751
block18,block89,8683
block18,block9,1836
block18,block90,4855
block18,block91,6507
block18,block92,7967
block18,block93,8524
block18,block94,7437
block18,block95,7747
block18,block96,8961
block18,block97,10320
block18,block98,9671
block18,block99,9231
block18,C1,1879
block18,C10,7928
block18,C11,7165
block18,C12,3071
block18,C13,7340
block18,C14,3418
block18,C15,4585
block18,C16,5925
block18,C17,7170
block18,C18,13156
block18,C19,2037
block18,C2,5635
block18,C20,1782
block18,C21,2561
block18,C22,1865
block18,C23,12973
block18,C24,8530
block18,C25,6619
block18,C26,9578
block18,C27,4833
block18,C28,7272
block18,C29,2154
block18,C3,717
block18,C30,5203
block18,C31,757
block18,C32,5200
block18,C33,3275
block18,C34,1750
block18,C35,3202
block18,C36,4486
block18,C37,12283
block18,C38,8536
block18,C39,10852
block18,C4,5372
block18,C40,7988
block18,C41,4577
block18,C42,4326
block18,C43,5050
block18,C44,759
block18,C45,5386
block18,C46,8007
block18,C47,10092
block18,C48,9874
block18,C49,6528
block18,C5,5425
block18,C50,9318
block18,C51,5441
block18,C52,5276
block18,C53,6932
block18,C54,12849
block18,C6,6649
block18,C7,7036
block18,C8,8267
block18,C9,3499
block19,block1,3526
block19,block10,1835
block19,block100,9485
block19,block101,9876
block19,block102,9481
block19,block103,11278
block19,block104,10868
block19,block105,12424
block19,block106,11502
block19,block107,12071
block19,block108,12310
block19,block109,13234
block19,block11,1418
block19,block110,8614
block19,block111,7972
block19,block112,9207
block19,block113,8671
block19,block114,8861
block19,block115,8898
block19,block116,7586
block19,block117,7709
block19,block118,7104
block19,block119,8431
block19,block12,1745
block19,block120,7073
block19,block121,9550
block19,block122,8177
block19,block123,11084
block19,block124,11094
block19,block125,11986
block19,block126,3158
block19,block127,4796
block19,block128,8785
block19,block129,11886
block19,block13,1006
block19,block130,12213
block19,block131,11944
block19,block132,12141
block19,block133,12881
block19,block134,4076
block19,block135,2145
block19,block14,2974
block19,block15,2689
block19,block16,1946
block19,block17,779
block19,block18,486
block19,block19,0
block19,block2,3924
block19,block20,414
block19,block21,2583
block19,block22,1971
block19,block23,2189
block19,block24,3135
block19,block25,3063
block19,block26,1454
block19,block27,1283
block19,block28,4040
block19,block29,3618
block19,block3,2692
block19,block30,2922
block19,block31,4534
block19,block32,3807
block19,block33,1971
block19,block34,2358
block19,block35,2838
block19,block36,3238
block19,block37,2427
block19,block38,2245
block19,block39,2782
block19,block4,2235
block19,block40,3335
block19,block41,4542
block19,block42,5366
block19,block43,4957
block19,block44,4700
block19,block45,6047
block19,block46,5370
block19,block47,5315
block19,block48,5121
block19,block49,3946
block19,block5,2393
block19,block50,3714
block19,block51,3827
block19,block52,4399
block19,block53,5537
block19,block54,5813
block19,block55,5901
block19,block56,5773
block19,block57,6206
block19,block58,7836
block19,block59,7374
block19,block6,1881
block19,block60,2703
block19,block61,2963
block19,block62,4349
block19,block63,4147
block19,block64,5750
block19,block65,5073
block19,block66,5444
block19,block67,1193
block19,block68,2023
block19,block69,4627
block19,block7,2076
block19,block70,4363
block19,block71,4964
block19,block72,5450
block19,block73,4792
block19,block74,6004
block19,block75,5111
block19,block76,5771
block19,block77,5028
block19,block78,5730
block19,block79,6084
block19,block8,2737
block19,block80,6680
block19,block81,5426
block19,block82,5832
block19,block83,6130
block19,block84,6509
block19,block85,5689
block19,block86,6481
block19,block87,7101
block19,block88,7372
block19,block89,8303
block19,block9,2199
block19,block90,4922
block19,block91,6574
block19,block92,7588
block19,block93,8145
block19,block94,6961
block19,block95,7367
block19,block96,8581
